Age,Gender,Country,work_interfere,tech_company,care_options,mental_health_consequence,phys_health_consequence,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence
41,M,United States,Rarely,Yes,Yes,Maybe,Maybe,No,No,Yes,Yes
25,Male,United States,Never,No,No,No,No,No,No,Don't know,No
31,m,United States,Sometimes,Yes,Yes,Maybe,No,No,Maybe,No,No
40,Male,United States,Sometimes,Yes,Yes,Yes,Yes,No,Maybe,No,Yes
43,Male,United States,Sometimes,Yes,Not sure,Maybe,Maybe,No,Maybe,Don't know,No
27,Female,United States,Often,Yes,Yes,Maybe,No,No,Maybe,No,Yes
37,female,United States,Sometimes,Yes,Yes,Yes,Maybe,No,Maybe,Don't know,No
32,male,Netherlands,Sometimes,Yes,No,Maybe,No,No,Maybe,No,No
25,Male,United States,Often,Yes,Yes,Maybe,No,No,Maybe,No,No
29,Male,Netherlands,Often,Yes,Not sure,No,Maybe,Maybe,No,Yes,No
30,Female,United States,Often,No,No,Yes,No,No,Maybe,No,No
34,female,Canada,Often,No,No,No,No,No,No,Yes,No
32,male,United Kingdom,Sometimes,No,Yes,Maybe,Maybe,No,Maybe,No,No
37,male,Germany,NA,Yes,No,No,No,Maybe,Maybe,Yes,No
41,male,Germany,Sometimes,Yes,No,No,No,No,No,Yes,No
38,male,United States,Never,No,Not sure,Yes,Maybe,No,No,No,No
32,Male,United States,Sometimes,Yes,Yes,No,No,No,Maybe,Don't know,No
28,Female,United States,Sometimes,Yes,Yes,Maybe,No,No,No,Yes,No
11,male,United States,Never,Yes,Yes,No,No,No,Maybe,Yes,No
43,male,United States,Never,No,Yes,Maybe,No,No,Maybe,No,No
32,Male,United States,Often,Yes,Yes,Yes,No,No,Yes,No,No
25,M,United States,Sometimes,Yes,Yes,Yes,No,No,No,Yes,No
37,Male,United States,Sometimes,Yes,No,No,No,No,No,Yes,No
36,male,United States,Sometimes,No,Yes,No,No,No,No,No,Yes
24,Male,United States,Rarely,Yes,No,No,No,Maybe,Yes,Yes,No
40,male,United States,Sometimes,Yes,Not sure,Maybe,No,No,Maybe,Don't know,Yes
29,Male,United States,NA,No,Not sure,No,No,No,Maybe,Yes,No
43,Male,United States,Never,Yes,No,No,No,No,No,Yes,No
29,Male,United States,NA,Yes,Not sure,Maybe,No,Maybe,Yes,Don't know,No
26,Male,United States,Sometimes,Yes,Not sure,Maybe,No,No,Maybe,Don't know,No
33,Female,Canada,Often,Yes,Yes,Yes,Yes,No,Maybe,No,Yes
35,Female,United States,Sometimes,Yes,No,No,No,No,No,Yes,No
45,M,United States,Never,Yes,No,Yes,Maybe,No,Maybe,Don't know,No
25,Male,United States,Rarely,Yes,Yes,Maybe,No,No,Maybe,Don't know,No
50,male,France,Sometimes,Yes,No,Maybe,Maybe,No,No,Don't know,No
26,male,Australia,Rarely,Yes,No,No,No,Maybe,Yes,Yes,No
33,female,United States,Often,Yes,Yes,Yes,No,No,Maybe,Don't know,No
30,Male,India,Often,Yes,No,Maybe,Maybe,Maybe,Maybe,Don't know,No
33,male,Croatia,Sometimes,Yes,Yes,No,No,Maybe,Maybe,Yes,No
29,M,France,Often,Yes,No,Maybe,Maybe,No,Yes,No,No
37,male,Germany,NA,Yes,Not sure,Maybe,No,Maybe,Yes,Don't know,No
25,Male,United States,Sometimes,Yes,No,No,No,Maybe,Yes,Don't know,No
40,m,United States,NA,No,Not sure,Maybe,No,No,Maybe,Don't know,No
24,Male,Canada,Sometimes,Yes,Yes,Maybe,No,No,Maybe,Don't know,Yes
40,Male,United Kingdom,Never,Yes,Not sure,Maybe,No,No,Maybe,Don't know,No
46,Male,United States,Sometimes,Yes,Yes,Yes,Maybe,No,Maybe,Don't know,No
38,Male,United States,Rarely,No,Yes,Yes,No,No,Yes,Don't know,No
34,Male,United States,Never,Yes,Yes,Yes,Yes,No,No,Don't know,No
32,Male,United Kingdom,Rarely,Yes,Yes,No,No,No,Yes,No,Yes
44,Male,United Kingdom,Sometimes,No,No,Maybe,No,No,No,No,No
33,Female,United Kingdom,Never,Yes,Not sure,Maybe,No,No,Maybe,No,No
45,female,United States,Rarely,No,No,No,No,No,Maybe,Don't know,No
35,Male,United States,NA,Yes,Not sure,No,No,No,No,Yes,No
26,Male,Germany,Often,Yes,No,Maybe,No,Maybe,Yes,No,Yes
20,female,United States,Sometimes,Yes,Not sure,No,No,Maybe,Maybe,Don't know,No
-1,p,United States,Often,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
37,Male,Netherlands,Sometimes,Yes,No,Maybe,No,No,Maybe,Yes,No
28,male,United States,NA,No,No,Maybe,No,No,Yes,No,No
42,F,United States,Sometimes,No,Yes,Yes,No,No,Yes,No,No
32,male,United Kingdom,NA,Yes,No,Maybe,No,No,No,Don't know,Yes
36,F,United States,Rarely,Yes,Yes,Maybe,Maybe,No,No,Don't know,No
27,M,New Zealand,Rarely,Yes,Yes,Yes,No,No,Maybe,No,Yes
27,M,New Zealand,Rarely,Yes,Yes,Yes,No,No,Maybe,No,Yes
27,Male,United Kingdom,Sometimes,No,No,Maybe,No,Maybe,Maybe,No,No
25,Male,United Kingdom,Sometimes,Yes,No,No,No,No,Maybe,Yes,No
41,M,United Kingdom,NA,Yes,No,Maybe,Maybe,Maybe,Maybe,Don't know,No
23,Male,Germany,Sometimes,Yes,Not sure,Maybe,No,No,No,Don't know,No
21,Male,United Kingdom,Sometimes,No,No,Maybe,No,No,No,Don't know,No
26,Male,Moldova,Often,Yes,Yes,No,No,Yes,Yes,Don't know,No
29,Male,Sweden,Rarely,Yes,Not sure,Maybe,Maybe,No,Yes,Don't know,Yes
28,male,Belgium,Sometimes,No,No,Yes,Maybe,No,No,Don't know,Yes
27,female,United Kingdom,NA,No,Yes,Maybe,No,No,Yes,Yes,No
23,Male,Israel,Never,No,Yes,No,No,No,Yes,Yes,No
26,F,United States,Sometimes,Yes,No,Maybe,No,No,No,Don't know,No
38,Male,United Kingdom,Sometimes,Yes,Not sure,No,No,Maybe,Yes,Don't know,No
39,M,United Kingdom,Sometimes,No,No,Maybe,Maybe,Maybe,Maybe,Yes,No
35,M,United States,Often,No,Yes,Yes,No,No,Yes,Don't know,No
32,male,United States,Rarely,Yes,Not sure,Maybe,No,No,Maybe,Don't know,No
32,Male,United States,Sometimes,Yes,Yes,Maybe,Maybe,No,No,Don't know,Yes
26,Male,United Kingdom,Never,Yes,No,Yes,Maybe,No,Maybe,Don't know,No
38,Male,Canada,Rarely,Yes,Not sure,No,No,No,Maybe,No,No
34,Female,United Kingdom,Rarely,No,Yes,No,No,Maybe,Maybe,Yes,No
39,Male,United States,Often,No,Not sure,Yes,No,No,Maybe,Don't know,No
32,male,Canada,Never,Yes,Not sure,No,No,Maybe,Maybe,Yes,No
37,Male,Netherlands,Never,Yes,Not sure,Yes,Yes,No,No,Don't know,No
31,male,United Kingdom,Never,Yes,Not sure,No,No,No,No,Don't know,No
30,m,United States,Rarely,Yes,Yes,No,No,No,No,Don't know,No
51,M,Singapore,Never,Yes,No,Yes,No,No,No,No,No
29,M,United States,Sometimes,Yes,Yes,Yes,No,No,Maybe,Don't know,No
31,Male,United Kingdom,Never,Yes,No,Maybe,Yes,No,No,Yes,No
31,Male,India,NA,Yes,Not sure,Yes,Yes,No,No,Don't know,No
26,Male,United States,Sometimes,Yes,No,Maybe,No,Maybe,Maybe,Don't know,No
46,Female,United States,Often,No,Yes,Maybe,No,No,Maybe,No,No
32,Male,United States,Sometimes,Yes,No,Maybe,No,No,No,Don't know,No
29,Male,United States,Sometimes,No,Yes,Maybe,No,No,Maybe,Don't know,No
34,male,Poland,Never,Yes,Not sure,Maybe,No,No,Yes,Don't know,No
26,Male,Colombia,Often,Yes,No,Yes,No,No,Maybe,Yes,No
32,Female,United States,Sometimes,Yes,Yes,Maybe,No,No,No,No,No
29,Male,United States,NA,Yes,Not sure,Maybe,No,Maybe,Yes,No,No
30,Male,United States,NA,No,No,Yes,Maybe,No,No,Don't know,No
40,F,United States,Sometimes,Yes,Yes,No,No,No,Maybe,Yes,Yes
23,Male,United Kingdom,Sometimes,Yes,No,Maybe,No,Yes,Yes,No,Yes
20,Male,Georgia,Rarely,No,No,Yes,Yes,No,Maybe,No,No
38,male,United States,NA,Yes,No,No,No,No,No,Don't know,Yes
26,Female,United States,Rarely,Yes,No,Maybe,Maybe,No,Maybe,No,No
29,Male,United States,Never,Yes,No,No,No,No,Yes,No,Yes
40,m,China,Sometimes,Yes,Yes,No,No,Maybe,Maybe,Don't know,No
25,female,Bulgaria,Sometimes,Yes,No,Maybe,Maybe,Maybe,No,No,No
32,Woman,United States,Sometimes,Yes,Yes,Maybe,Maybe,No,No,No,No
38,male,United States,Sometimes,No,Yes,Maybe,No,No,Maybe,No,Yes
72,Female,United States,Never,No,Not sure,Maybe,Maybe,No,No,Don't know,Yes
35,female,United States,Sometimes,Yes,No,Maybe,Maybe,No,No,Yes,No
28,F,United States,Often,Yes,Yes,Yes,Maybe,No,No,Don't know,No
27,femail,United States,Never,No,Not sure,No,No,No,No,Yes,No
56,female,United States,Rarely,Yes,Not sure,Maybe,Maybe,No,No,Don't know,No
38,Male,United States,Sometimes,Yes,No,Maybe,No,No,No,Don't know,No
31,Female,Belgium,NA,Yes,Not sure,Maybe,No,No,No,Don't know,No
40,Male,United States,Sometimes,Yes,Yes,Maybe,No,No,No,Yes,No
44,M,United States,Sometimes,Yes,Yes,Maybe,No,No,No,Don't know,No
34,Male,Canada,Sometimes,Yes,Not sure,Maybe,No,No,Maybe,Don't know,No
37,Male,United Kingdom,Never,Yes,No,No,No,No,Yes,Don't know,No
38,male,Italy,Never,Yes,Not sure,No,No,Yes,Maybe,No,No
27,male,Germany,NA,Yes,Not sure,No,No,Yes,Yes,Don't know,No
34,female,Ireland,Sometimes,No,Yes,Yes,Yes,No,No,Yes,No
35,Female,Ireland,Rarely,Yes,No,Maybe,No,No,Maybe,No,No
34,male,Ireland,Often,Yes,No,Yes,Maybe,No,Maybe,No,No
32,Male,United States,Often,Yes,Not sure,Yes,Maybe,No,No,Don't know,No
25,male,Ireland,NA,Yes,Not sure,Maybe,No,No,No,Don't know,No
28,Male,Australia,Often,Yes,Yes,Yes,No,No,Maybe,No,No
28,Female,United States,Rarely,Yes,No,Yes,Yes,No,No,No,Yes
31,Male,Brazil,NA,Yes,Yes,No,No,No,Maybe,Don't know,No
24,Male,United Kingdom,NA,Yes,Not sure,Maybe,Maybe,No,Maybe,Don't know,No
34,Male,Ireland,Never,Yes,No,Maybe,No,No,No,Don't know,No
32,male,Ireland,Sometimes,Yes,No,No,No,No,Maybe,Don't know,No
34,Male,United Kingdom,Often,No,Not sure,Maybe,No,Maybe,Yes,Yes,No
23,Male,United States,Sometimes,Yes,Yes,Maybe,Maybe,No,No,No,No
33,Male,Czech Republic,Often,Yes,Yes,No,No,Maybe,Maybe,Don't know,Yes
29,male,Singapore,Sometimes,Yes,Not sure,Maybe,No,No,Maybe,No,No
24,male,Ireland,NA,Yes,No,Maybe,Maybe,No,No,Don't know,No
45,male,Ireland,Never,Yes,Not sure,Yes,No,No,No,No,Yes
34,Female,United Kingdom,Sometimes,No,Yes,Maybe,Maybe,No,Maybe,No,Yes
31,Male,Philippines,Sometimes,Yes,No,Yes,Yes,No,Maybe,No,Yes
33,Male,United States,Often,Yes,Yes,Maybe,No,No,Maybe,Don't know,No
28,male,Netherlands,NA,Yes,Not sure,Maybe,Maybe,No,No,Don't know,No
27,Male,United Kingdom,Rarely,No,Not sure,No,No,No,No,Don't know,No
42,male,Ireland,Never,Yes,Yes,Yes,Yes,No,No,No,No
28,male,Netherlands,NA,Yes,Not sure,Maybe,Maybe,No,No,Don't know,No
38,Male,United States,Sometimes,Yes,No,No,No,No,No,Don't know,No
46,Male,United States,Often,Yes,No,Maybe,No,No,No,No,No
46,male,United States,Sometimes,Yes,Not sure,No,No,Yes,Yes,Don't know,No
41,female,Netherlands,Rarely,Yes,Yes,No,No,Yes,Yes,Yes,No
23,Male ,United Kingdom,Never,Yes,No,Maybe,No,No,Maybe,Yes,Yes
24,male,Ireland,Sometimes,Yes,Yes,Maybe,No,No,Maybe,Yes,Yes
23,female,Ireland,Rarely,Yes,Yes,No,No,No,Maybe,Don't know,No
39,Male,Netherlands,NA,No,Not sure,Maybe,Maybe,No,No,Yes,No
32,Female,Ireland,Never,Yes,Yes,Maybe,No,No,No,Don't know,No
25,Male,United States,Sometimes,Yes,Yes,Yes,No,No,Maybe,Don't know,No
39,Male,Greece,NA,Yes,No,Yes,No,No,No,Don't know,No
23,Female,United Kingdom,Sometimes,Yes,Yes,No,No,Maybe,Maybe,Yes,No
24,Cis Man,United Kingdom,Sometimes,Yes,No,Maybe,Maybe,No,Maybe,Don't know,Yes
25,Male,United Kingdom,Sometimes,No,Yes,No,No,Yes,Yes,Yes,No
23,Male,United Kingdom,Rarely,Yes,Yes,No,No,No,Maybe,Don't know,No
24,"ostensibly male, unsure what that really means",United Kingdom,Sometimes,No,No,Yes,Maybe,No,Maybe,Don't know,No
23,Male,Canada,Often,Yes,Yes,Maybe,No,No,No,Don't know,No
60,Male,United States,Often,Yes,No,Maybe,Maybe,No,Maybe,Don't know,No
28,male,Ireland,Sometimes,Yes,Yes,Yes,Maybe,No,No,No,Yes
28,Male,United States,Often,No,Yes,Yes,Maybe,No,No,No,Yes
30,male,Netherlands,Sometimes,Yes,No,Maybe,No,Maybe,Yes,Don't know,No
31,male,Germany,Sometimes,Yes,No,No,No,No,No,Don't know,No
31,Male,Poland,Often,Yes,No,Maybe,No,No,No,Don't know,No
28,Male,Ireland,Rarely,Yes,No,Maybe,No,No,Maybe,Don't know,No
43,f,United States,Rarely,Yes,Yes,No,No,No,No,Don't know,No
32,female,United Kingdom,NA,No,No,Maybe,No,No,Yes,No,No
22,Male,Australia,Often,No,Yes,Maybe,Maybe,No,Maybe,Don't know,Yes
32,Male,United States,Never,Yes,Not sure,No,No,Maybe,Yes,Don't know,No
36,male,Finland,Often,Yes,No,Yes,No,No,Maybe,Don't know,Yes
41,Female,United States,Sometimes,Yes,No,Yes,Maybe,No,No,Don't know,No
30,M,United States,Sometimes,Yes,Yes,No,No,Maybe,Maybe,Yes,No
30,Male,United States,Often,Yes,Not sure,No,No,Maybe,Maybe,Yes,No
36,Male,South Africa,Often,No,Yes,No,No,No,Yes,Yes,No
29,male,United States,Sometimes,Yes,Yes,Yes,No,No,Maybe,No,No
36,Male,United States,Rarely,No,No,Maybe,Maybe,No,No,Don't know,No
26,male,United Kingdom,NA,Yes,No,No,No,No,No,Don't know,No
32,Male,United States,Often,Yes,Yes,No,No,No,No,Yes,No
34,male,United States,Sometimes,Yes,Yes,Yes,Yes,No,No,No,No
46,f,United States,NA,Yes,Yes,Yes,No,No,No,No,No
25,Male,United States,Sometimes,No,Yes,Maybe,No,No,No,Don't know,No
